img_id,lung_area_px,lung_area_mm2,lung_volume_fraction,lung_mean_hu,lung_pd95_hu,lung_pd05_hu
ID_0000_Z_0142.tif,57342,40318.59375,0.21874237060546875,-644.7506714101356,-368.0,-798.0
ID_0001_Z_0146.tif,95955,67468.359375,0.3660392761230469,-720.0429784794956,-544.0,-847.0
ID_0002_Z_0162.tif,60782,42737.34375,0.23186492919921875,-616.7226317001744,-294.0,-777.0
ID_0003_Z_0132.tif,52852,37161.5625,0.2016143798828125,-664.0364413834859,-267.5500000000029,-851.0
ID_0004_Z_0066.tif,81260,57135.9375,0.3099822998046875,-675.3479694806794,-295.0,-842.0
ID_0005_Z_0066.tif,52456,36883.125,0.200103759765625,-596.4388821107214,-356.0,-749.0
ID_0006_Z_0206.tif,59331,41717.109375,0.22632980346679688,-625.4058418027676,-392.0,-777.0
ID_0007_Z_0211.tif,75752,53263.125,0.288970947265625,-641.8782210370683,-356.0,-813.0
ID_0008_Z_0065.tif,75298,52943.90625,0.28723907470703125,-675.1177853329438,-340.0,-841.0
ID_0009_Z_0114.tif,62030,43614.84375,0.23662567138671875,-661.701289698533,-345.0,-836.0
ID_0010_Z_0259.tif,73031,51349.921875,0.2785911560058594,-696.8417384398406,-434.0,-842.0
ID_0011_Z_0156.tif,72748,51150.9375,0.2775115966796875,-651.6296530488811,-291.3500000000058,-821.0
ID_0012_Z_0167.tif,79156,55656.5625,0.3019561767578125,-688.6208247005912,-398.0,-837.0
ID_0013_Z_0047.tif,37612,26445.9375,0.1434783935546875,-669.8312772519408,-391.0,-817.0
ID_0014_Z_0116.tif,48663,34216.171875,0.18563461303710938,-673.3435669810739,-278.0,-848.0
ID_0015_Z_0136.tif,62798,44154.84375,0.23955535888671875,-675.5979171311188,-353.0,-837.0
ID_0016_Z_0208.tif,66278,46601.71875,0.25283050537109375,-688.3661848577206,-444.0,-841.0
ID_0017_Z_0061.tif,77068,54188.4375,0.2939910888671875,-656.1146130689781,-352.0,-821.0
ID_0018_Z_0069.tif,85528,60136.875,0.326263427734375,-661.5121363763914,-318.0,-825.0
ID_0019_Z_0088.tif,43894,30862.96875,0.16744232177734375,-656.9117191415684,-376.0,-807.0
ID_0020_Z_0070.tif,58226,40940.15625,0.22211456298828125,-698.1707656373442,-388.0,-853.0
ID_0021_Z_0066.tif,58870,41392.96875,0.22457122802734375,-647.3020723628333,-213.0,-829.0
ID_0022_Z_0131.tif,42984,30223.125,0.163970947265625,-560.035966871394,-250.0,-733.0
ID_0023_Z_0241.tif,83338,58597.03125,0.31790924072265625,-697.7357627972833,-406.0,-846.0
ID_0024_Z_0086.tif,61021,42905.390625,0.23277664184570312,-642.5626587568214,-315.0,-809.0
ID_0025_Z_0112.tif,29160,20503.125,0.111236572265625,-599.4674211248285,-225.0,-773.0
ID_0026_Z_0140.tif,61252,43067.8125,0.2336578369140625,-635.302210540064,-281.0,-826.0
ID_0027_Z_0125.tif,62415,43885.546875,0.23809432983398438,-649.3564367539855,-279.0,-826.0
ID_0028_Z_0125.tif,72639,51074.296875,0.2770957946777344,-666.366469802723,-360.0,-840.0
ID_0029_Z_0059.tif,45753,32170.078125,0.17453384399414062,-605.7524315345441,-170.59999999999854,-810.0
ID_0030_Z_0302.tif,72995,51324.609375,0.2784538269042969,-719.2710185629153,-452.0,-869.0
ID_0031_Z_0232.tif,48442,34060.78125,0.18479156494140625,-655.0561496222286,-402.0,-806.0
ID_0032_Z_0055.tif,54836,38556.5625,0.2091827392578125,-549.0399919760741,-139.0,-789.0
ID_0033_Z_0278.tif,59813,42056.015625,0.22816848754882812,-685.1943390232892,-416.0,-827.0
ID_0034_Z_0066.tif,39898,28053.28125,0.15219879150390625,-649.6921148929771,-366.0,-801.0
ID_0035_Z_0224.tif,59471,41815.546875,0.22686386108398438,-654.6456928587043,-410.0,-804.0
ID_0036_Z_0060.tif,55199,38811.796875,0.21056747436523438,-634.2198228228772,-275.0,-809.0
ID_0037_Z_0150.tif,53328,37496.25,0.20343017578125,-675.1993324332433,-172.35000000000582,-871.0
ID_0038_Z_0148.tif,38999,27421.171875,0.14876937866210938,-668.6707607887382,-442.0,-807.0
ID_0039_Z_0112.tif,67525,47478.515625,0.2575874328613281,-661.7910995927434,-332.0,-833.0
ID_0040_Z_0066.tif,55079,38727.421875,0.21010971069335938,-638.6325278236715,-247.0,-824.0
ID_0041_Z_0336.tif,86275,60662.109375,0.3291130065917969,-710.0627064618951,-433.0,-866.0
ID_0042_Z_0366.tif,77602,54563.90625,0.29602813720703125,-687.4832220819051,-358.0,-881.0
ID_0043_Z_0097.tif,58816,41355.0,0.224365234375,-626.4358847932535,-308.75,-787.0
ID_0044_Z_0116.tif,43730,30747.65625,0.16681671142578125,-630.2898010519094,-272.0,-797.0
ID_0045_Z_0131.tif,63064,44341.875,0.240570068359375,-684.4129455790943,-362.0,-865.0
ID_0046_Z_0110.tif,23126,16260.46875,0.08821868896484375,-548.5339444780766,-211.0,-750.0
ID_0047_Z_0272.tif,65217,45855.703125,0.24878311157226562,-646.6712053605655,-377.0,-804.0
ID_0048_Z_0294.tif,100199,70452.421875,0.3822288513183594,-728.4541961496622,-391.0,-896.0
ID_0049_Z_0105.tif,23563,16567.734375,0.08988571166992188,-504.19806476255144,-57.10000000000218,-850.0
ID_0050_Z_0085.tif,74551,52418.671875,0.2843894958496094,-684.5576316883744,-345.0,-835.0
ID_0051_Z_0130.tif,59264,41670.0,0.22607421875,-608.2620140388769,-201.0,-852.0
ID_0052_Z_0108.tif,94390,66367.96875,0.36006927490234375,-667.907829219197,-217.0,-886.0
ID_0053_Z_0127.tif,52982,37252.96875,0.20211029052734375,-622.178664452078,-322.0,-811.0
ID_0054_Z_0135.tif,71436,50228.4375,0.2725067138671875,-713.2705638613584,-512.0,-853.0
ID_0055_Z_0122.tif,64029,45020.390625,0.24425125122070312,-673.7302784675694,-338.0,-849.0
ID_0056_Z_0163.tif,54604,38393.4375,0.2082977294921875,-613.3731777891729,-205.0,-787.0
ID_0057_Z_0070.tif,40040,28153.125,0.152740478515625,-646.6842657342658,-347.0,-789.05
ID_0058_Z_0150.tif,66362,46660.78125,0.25315093994140625,-647.3974111690425,-310.0,-810.0
